"fishery_id","lat","lon"
1,9.079722222,123.2714278
1,9.079722222,123.2714278
2,-40.90832222,173.2019167
3,-45.44088333,171.2500778
3,-45.44088333,171.2500778
3,-45.44088333,171.2500778
3,-45.44088333,171.2500778
4,-22.02271667,114.2925861
5,38.66945,26.75037778
5,38.66945,26.75037778
6,41.19568056,-67.51804444
7,11.49168611,123.0034194
7,11.49168611,123.0034194
8,58.31634167,11.53907222
9,7.209336111,79.83406111
10,41.97315556,139.9742194
11,11.63328889,122.8381972
11,11.63328889,122.8381972
13,34.85,138.55
14,59.89395556,-2.098066667
15,44.31121944,145.3201389
16,-28.55029167,32.3929
17,51.32040556,-128.7623083
18,-38.81491111,144.4838167
19,-38.79291111,142.1885306
20,55.64481111,10.06555278
21,54.88215,13.98206667
22,-8.485511111,158.0160694
22,-8.485511111,158.0160694
23,55.991075,7.079927778
24,57.38955833,8.139947222
25,41.17950278,-71.38395833
26,57.99905556,9.912652778
27,57.49329444,9.012416667
28,45.92118611,-125.8148361
29,44.61726389,-124.0207278
30,59.08938333,-171.2447083
30,59.08938333,-171.2447083
30,59.08938333,-171.2447083
31,44.85625278,12.42036389
32,-22.057425,43.14696667
33,10.10033333,106.8401194
34,58.27814722,-145.1814139
34,58.27814722,-145.1814139
35,13.37913611,144.8825389
35,13.37913611,144.8825389
35,13.37913611,144.8825389
36,59.08938333,-171.2447083
37,31.46569722,-114.5269444
38,59.08938333,-171.2447083
39,58.27814722,-145.1814139
39,58.27814722,-145.1814139
40,28.19017778,-115.2126278
40,28.19017778,-115.2126278
40,28.19017778,-115.2126278
41,59.08938333,-171.2447083
42,59.08938333,-171.2447083
43,10.06029444,106.8173917
44,29.12829444,-112.210275
44,29.12829444,-112.210275
47,-33.40492778,-71.7663
47,-33.01187222,-71.70164167
47,-33.01187222,-71.70164167
48,-18.14734167,178.3750361
48,-18.14734167,178.3750361
48,-18.14734167,178.3750361
49,19.66076111,-87.46763333
50,-25.05313056,-47.93465556
51,-22.99788333,-42.04326944
51,-22.99788333,-42.04326944
51,-22.99788333,-42.04326944
52,24.74225556,-107.4297139
52,24.74225556,-107.4297139
53,33.38173889,126.4685639
53,33.38173889,126.4685639
54,-1.94155,147.1024139
54,-1.94155,147.1024139
55,-42.32723889,-64.37145278
56,13.17516111,-16.75771111
57,-3.353244444,-80.26080556
58,24.10849167,57.22655556
59,17.76240278,-88.00450556
59,17.76240278,-88.00450556
60,10.014325,76.23929722
60,10.014325,76.23929722
60,10.014325,76.23929722
61,13.72224444,-60.958725
62,17.76240278,-88.00450556
62,17.76240278,-88.00450556
63,52.87361944,149.36585
64,-4.291786111,-73.20554167
64,-4.291786111,-73.20554167
65,-16.28532222,-69.04143333
65,-16.28532222,-69.04143333
65,-16.28532222,-69.04143333
66,9.973666667,76.25805
67,-14.79553333,35.86537778
67,-14.79553333,35.86537778
68,5.151141667,-3.183919444
69,53.04483333,3.815475
69,53.04483333,3.815475
70,-1.027069444,33.11063056
70,-1.027069444,33.11063056
70,-1.027069444,33.11063056
71,43.83302778,-63.89248611
